"","Country","deaths"
"1","Austria",68
"2","Belgium",289
"3","Bulgaria",3
"4","Croatia",3
"5","Cyprus",5
"6","Czech Republic",9
"7","Denmark",52
"8","Estonia",1
"9","Finland",7
"10","France",1992
"11","Germany",325
"12","Greece",28
"13","Hungary",11
"14","Iceland",2
"15","Ireland",22
"16","Italy",9136
"17","Latvia",0
"18","Lithuania",5
"19","Luxembourg",15
"20","Malta",0
"21","Netherlands",546
"22","Norway",16
"23","Poland",16
"24","Portugal",76
"25","Romania",24
"26","Slovenia",9
"27","Spain",4858
"28","Sweden",92
"29","Switzerland",197
"30","United Kingdom",759
